2026-08-28 18:50:06 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 18:50:10 | eta_pipeline.mlflow_tracking | INFO     | Created experiment eta-prediction-pipeline - 1
2026-08-28 18:50:10 | main | INFO     | ================================================================
2026-08-28 18:50:10 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 18:50:10 | main | INFO     | ================================================================
2026-08-28 18:50:10 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 18:50:10 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 18:50:11 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: 4180009df9c0468d8ba0599b0c437c4b
2026-08-28 18:51:40 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 18:51:41 | eta_pipeline.mlflow_tracking | INFO     | Experiment eta-prediction-pipeline already exists
2026-08-28 18:51:41 | main | INFO     | ================================================================
2026-08-28 18:51:41 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 18:51:41 | main | INFO     | ================================================================
2026-08-28 18:51:41 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 18:51:41 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 18:51:41 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: 7302b0a2cfa445599d73201d575faa69
2026-08-28 19:03:15 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:03:18 | eta_pipeline.mlflow_tracking | INFO     | Experiment eta-prediction-pipeline already exists
2026-08-28 19:03:18 | main | INFO     | ================================================================
2026-08-28 19:03:18 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 19:03:18 | main | INFO     | ================================================================
2026-08-28 19:03:18 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 19:03:18 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:03:19 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: 28a3d5b967344e408597e5f905a23564
2026-08-28 19:03:45 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:03:47 | eta_pipeline.mlflow_tracking | INFO     | Experiment eta-prediction-pipeline already exists
2026-08-28 19:03:47 | main | INFO     | ================================================================
2026-08-28 19:03:47 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 19:03:47 | main | INFO     | ================================================================
2026-08-28 19:03:47 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 19:03:47 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:03:48 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: 052d078f978c49eca548fb9d742c9b8a
2026-08-28 19:03:48 | main | INFO     | ================================================================
2026-08-28 19:03:48 | main | INFO     | Title: STAGE 1 - LOAD NYC TAXI + WEATHER DATA & VALIDATION
2026-08-28 19:03:48 | main | INFO     | ================================================================
2026-08-28 19:04:11 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:04:13 | eta_pipeline.mlflow_tracking | INFO     | Experiment eta-prediction-pipeline already exists
2026-08-28 19:04:13 | main | INFO     | ================================================================
2026-08-28 19:04:13 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 19:04:13 | main | INFO     | ================================================================
2026-08-28 19:04:13 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 19:04:13 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:04:13 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: 3e051d9cb2b140e9bdcdae3830263472
2026-08-28 19:04:13 | main | INFO     | ================================================================
2026-08-28 19:04:13 | main | INFO     | Title: STAGE 1 - LOAD NYC TAXI + WEATHER DATA & VALIDATION
2026-08-28 19:04:13 | main | INFO     | ================================================================
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Loading Kaggle NYC Taxi dataset from: C:\Users\Ganesh\TripDurationPredictions\data\raw\NYC.csv
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Raw dataset shape: (10000, 11)
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Raw columns: ['id', 'vendor_id', 'pickup_datetime', 'dropoff_datetime', 'passenger_count', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'store_and_fwd_flag', 'trip_duration']
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Derived eta_minutes from trip_duration_sec.
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Post-mapping shape: (10000, 12)
2026-08-28 19:04:13 | eta_pipeline.ingestion | WARNING  | Weather file not found at: C:\Users\Ganesh\TripDurationPredictions\data\raw\weather_data_nyc.csv — trips will proceed without weather features.
2026-08-28 19:04:13 | eta_pipeline.ingestion | WARNING  | Weather DataFrame is empty — skipping merge. Weather features will be 0.
2026-08-28 19:04:13 | eta_pipeline.ingestion | INFO     | Starting validation on 10,000 rows …
2026-08-28 19:04:49 | eta_pipeline.mlflow_tracking | INFO     | MLFlow tracking URI: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:04:50 | eta_pipeline.mlflow_tracking | INFO     | Experiment eta-prediction-pipeline already exists
2026-08-28 19:04:50 | main | INFO     | ================================================================
2026-08-28 19:04:50 | main | INFO     | Title: ETA Prediction Pipeline - NYC Taxi(Kaggle)
2026-08-28 19:04:50 | main | INFO     | ================================================================
2026-08-28 19:04:50 | main | INFO     | MLflow Experiment started: eta-prediction-pipeline
2026-08-28 19:04:50 | main | INFO     | MLflow store: sqlite:///C:\Users\Ganesh\TripDurationPredictions\mlruns\mlflow.db
2026-08-28 19:04:51 | eta_pipeline.mlflow_tracking | INFO     | MLflow parent run started: cdd9fe0c1e5e4235a561d2328b444b50
2026-08-28 19:04:51 | main | INFO     | ================================================================
2026-08-28 19:04:51 | main | INFO     | Title: STAGE 1 - LOAD NYC TAXI + WEATHER DATA & VALIDATION
2026-08-28 19:04:51 | main | INFO     | ================================================================
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Loading Kaggle NYC Taxi dataset from: C:\Users\Ganesh\TripDurationPredictions\data\raw\NYC.csv
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Raw dataset shape: (10000, 11)
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Raw columns: ['id', 'vendor_id', 'pickup_datetime', 'dropoff_datetime', 'passenger_count', 'pickup_longitude', 'pickup_latitude', 'dropoff_longitude', 'dropoff_latitude', 'store_and_fwd_flag', 'trip_duration']
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Derived eta_minutes from trip_duration_sec.
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Post-mapping shape: (10000, 12)
2026-08-28 19:04:51 | eta_pipeline.ingestion | WARNING  | Weather file not found at: C:\Users\Ganesh\TripDurationPredictions\data\raw\weather_data_nyc.csv — trips will proceed without weather features.
2026-08-28 19:04:51 | eta_pipeline.ingestion | WARNING  | Weather DataFrame is empty — skipping merge. Weather features will be 0.
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | Starting validation on 10,000 rows …
2026-08-28 19:04:51 | eta_pipeline.ingestion | WARNING  | Out-of-range GPS coordinates in 9 rows.
2026-08-28 19:04:51 | eta_pipeline.ingestion | WARNING  | Invalid ETA values in 12 rows.
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | ============================================================
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | VALIDATION REPORT
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     | ============================================================
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Total rows              :     10,000
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Missing GPS rows        :          0
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Invalid timestamp rows  :          0
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Out-of-range rows       :          9
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Invalid ETA rows        :         12
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Invalid passenger rows  :          0
2026-08-28 19:04:51 | eta_pipeline.ingestion | INFO     |   Duplicate trip IDs      :          0
